word,pos,entropy,num_senses,freq
room,n,0.40907313904382653,2,122
want,v,0.20102639201641434,2,383
still,r,0.4373127600334949,2,277
year,n,0.19841638584223387,2,422
school,n,0.4283781735341417,2,137
place,v,0.4138168503036338,2,156
good,a,0.3269693312473513,2,167
turn,v,0.34438910560526487,2,171
even,r,0.20717693441454327,2,399
let,v,0.3329913124162684,2,228
previous,s,0.9517626756348312,2,35
seem,v,0.5326872539936106,2,586
duty,n,0.9986359641585719,2,23
action,n,0.560576942614533,2,122
wear,v,0.6577047787442195,2,100
church,n,0.9936507116910405,2,128
effort,n,0.5107878229540133,2,88
finish,v,0.6962122601251458,2,64
mind,n,0.5179618709530011,2,112
assemble,v,0.9910760598382222,2,27
measure,n,1.0,2,20
watch,v,1.4568308932827967,3,146
far,r,1.4126800388164762,3,103
heart,n,1.4424818181915766,3,66
stay,v,1.2819683318512713,3,105
reveal,v,1.4134178478753567,3,59
interest,n,1.1049844412475445,3,126
quality,n,1.3442502541596542,3,70
declare,v,1.4160013007337013,3,53
case,n,1.2119364462553628,3,127
spirit,n,1.5698145923700115,3,68
right,r,1.5683637920859685,3,41
make,v,1.9039109280197704,7,1401
gain,v,1.5007878619027473,3,51
think_of,v,1.7053342506164972,4,129
accept,v,1.8885521626143795,4,93
section,n,1.746881936456556,4,95
space,n,1.5187507009097019,3,59
receive,v,1.7561056430619328,5,200
start,v,1.5188437932433765,4,258
apply,v,2.0694925100414023,5,116
raise,v,2.234669100831826,5,111
thing,n,2.8128685083668987,8,264
serve,v,2.3591474949708653,6,194
time,n,2.002841765003737,5,505
meet,v,2.774647520362166,9,214
life,n,2.0401576355655684,5,217
play,v,2.151680381933271,5,205
leave,v,2.3864951158681773,8,376
lead,v,2.6849820403861235,7,170
