word,pos,entropy,num_senses,freq
take,v,2.8151062515756373,12,675
thing,n,2.8128685083668987,8,264
meet,v,2.774647520362166,9,214
lead,v,2.6849820403861235,7,170
serve,v,2.3591474949708653,6,194
give,v,2.2685383380798423,9,704
raise,v,2.234669100831826,5,111
leave,v,2.2094928077015674,7,357
cover,v,2.1594706670121715,5,118
play,v,2.151680381933271,5,205
grow,v,2.10343769975151,5,157
life,n,2.0401576355655684,5,217
follow,v,2.0185233432376575,7,243
time,n,2.002841765003737,5,505
find,v,1.996949982035844,6,663
deny,v,1.9701081301924126,4,72
discover,v,1.9588470712818158,4,70
back,r,1.9474068811364393,5,168
line,n,1.912233987622732,5,100
make,v,1.9039109280197704,7,1401
feel,v,1.8949218437492206,5,403
death,n,1.8943249017489554,4,103
accept,v,1.8885521626143795,4,93
reach,v,1.8782203264261244,5,213
force,n,1.8614004981280574,4,84
call,v,1.850006160954403,4,223
write,v,1.8351129948246672,5,271
system,n,1.832076313498926,4,98
set,v,1.8314216022357548,4,83
history,n,1.7981302364384961,4,99
move,v,1.7890235700845696,4,228
change,n,1.781963881824319,4,103
end,n,1.772543316780131,4,112
side,n,1.7677549030282107,5,129
open,v,1.763864032920705,4,142
represent,v,1.7633641984729462,4,104
receive,v,1.7561056430619328,5,200
apply,v,1.7492714658814048,4,102
section,n,1.746881936456556,4,95
day,n,1.7446501694263055,4,313
see,v,1.7209534595342852,8,973
place,n,1.7185194955193304,4,141
hold,v,1.7156016683369506,4,267
think_of,v,1.7053342506164972,4,129
drive,v,1.68329215557638,4,106
bring,v,1.6529514490258512,4,227
state,n,1.6511430259225932,4,190
part,n,1.612205772838574,4,188
tell,v,1.6084929966193509,4,501
know,v,1.6034015080839683,5,872
suffer,v,1.584432282978147,3,52
show,v,1.583737838019866,4,381
form,v,1.5804875705837595,3,89
avoid,v,1.580145470046362,3,60
perform,v,1.578306427326721,3,64
scene,n,1.5763876836359467,3,45
indicate,v,1.5722287630593852,3,177
settle,v,1.5722260200806404,3,38
note,v,1.569616754514801,3,101
go,v,1.5686808988303984,5,461
right,r,1.5683637920859685,3,41
course,n,1.5663524721908524,4,99
paint,v,1.565574069793937,3,39
expression,n,1.5597895278350613,3,46
trouble,n,1.5503479964504263,3,45
direction,n,1.543729625637546,3,48
corner,n,1.541524223527652,3,45
major,a,1.5388976349892525,3,83
experience,n,1.5358536364396158,3,125
stage,n,1.5356567816703635,3,59
develop,v,1.5338236975176884,4,166
refer,v,1.530618994848517,3,56
shoot,v,1.5303120366919818,3,56
rise,v,1.527178431943376,3,89
work,v,1.5259133378083378,3,198
mark,v,1.5240434731607448,3,53
performance,n,1.5233498010622486,3,59
fit,v,1.5223368071545618,3,40
strike,v,1.5215018900472137,3,54
start,v,1.5188437932433765,4,258
think,v,1.5182936792422672,3,493
study,v,1.5177251219910801,4,109
break,v,1.5166238110793633,3,50
get,v,1.5096363891492828,4,646
fire,v,1.5083540234191586,3,53
contribute,v,1.5029852292101191,3,69
gain,v,1.5007878619027473,3,51
item,n,1.491512321370904,3,63
answer,n,1.4895274024025493,3,58
come,v,1.4867394990492926,5,620
plan,v,1.4824783834752846,3,82
measure,v,1.4814746538850163,3,69
hit,v,1.4802633805403866,3,81
produce,v,1.4732202517929909,3,130
hope,v,1.472564261373753,3,116
deal,v,1.472513749357935,3,62
sound,n,1.4712932185766467,3,53
game,n,1.4707311511307735,3,76
watch,v,1.4568308932827967,3,146
hang,v,1.4547509823331688,3,50
party,n,1.4541807323020552,3,54
speak,v,1.4500613909037192,3,147
hard,a,1.4448467229655133,3,62
heart,n,1.4424818181915766,3,66
change,v,1.4413678325547838,3,121
love,v,1.4411527094993095,3,81
wish,v,1.4366061768728948,3,72
express,v,1.434377290944614,3,98
wait,v,1.420808296061842,3,157
declare,v,1.4160013007337013,3,53
light,n,1.4156332062186274,3,77
point,n,1.4134178478753567,3,118
far,r,1.4126800388164762,3,103
maintain,v,1.4054342437848957,3,103
human,a,1.4044551990351313,3,80
world,n,1.403638625391077,3,149
put,v,1.402340119290613,3,257
consider,v,1.394830833453816,3,229
position,n,1.392461483252758,3,73
drop,v,1.3919702465210304,3,74
play,n,1.3917144813646967,3,53
field,n,1.3916128814599005,3,81
recognize,v,1.39050971585982,3,100
close,v,1.3743794325609968,3,84
involve,v,1.372482228697493,3,112
value,n,1.360964047443681,3,130
prepare,v,1.3604730389109894,3,71
remain,v,1.355595380399152,3,196
support,v,1.3548708565658478,3,74
report,v,1.348106130062573,3,128
quality,n,1.3442502541596542,3,70
keep,v,1.3353920420885956,5,303
end,v,1.3335410506649712,3,90
remember,v,1.3332361193357403,3,164
well,r,1.3330443114239643,3,115
present,v,1.3285216398294963,3,103
result,n,1.3276614050461624,3,131
source,n,1.3257519053652946,3,67
stand,v,1.3185058440138706,3,211
send,v,1.2963318321859545,3,128
treat,v,1.2962872661047358,3,81
suggest,v,1.2882167238882554,3,120
stay,v,1.2819683318512713,3,105
case,n,1.2119364462553628,3,127
look,v,1.207066096520423,3,361
surface,n,1.2013501705669356,3,136
determine,v,1.1865641271536418,3,165
ask,v,1.1785076650486637,3,408
live,v,1.1581506830054593,3,235
continue,v,1.1562771759512425,3,197
fill,v,1.1443414160813739,3,81
choose,v,1.1157602463144523,3,108
interest,n,1.1049844412475445,3,126
assume,v,1.0652400194324225,3,91
area,n,1.002967626870442,3,200
secretary,n,1.0,2,28
scientific,a,1.0,2,24
scale,n,1.0,2,20
