Lemma,Principle Components,WordNet Mean_tsne,WordNet SD_tsne,Random Mean_tsne,Random SD_tsne,WordNet Mean_pca,WordNet SD_pca,Random Mean_pca,Random SD_pca,entropy,num_senses,freq
thing.n,2,0.08515896552608883,0.010068765424260068,-1.0062352963204486e-05,0.0054223030501248225,0.022311862757617647,0.006361721069393663,-0.00026620558435036567,0.005339537800037286,2.812868508,8,264
thing.n,3,0.035801587166091706,0.007682305846135174,-0.0002590757535387196,0.0052339379249049965,0.04693294111136412,0.005681495679623138,-3.1490929707523503e-05,0.005597497749833343,2.812868508,8,264
meet.v,2,0.3602364127748172,0.02059286826155981,0.00015240392685478157,0.007969236312315225,0.3353348815694016,0.014064158566817229,-0.00028417311524033597,0.007645239164554362,2.77464752,9,214
meet.v,3,0.09337668655888703,0.02051840118197821,0.0001822730060531792,0.0074239006737885065,0.3719455314523686,0.02092084396408647,-7.471480386024564e-05,0.007528806263311136,2.77464752,9,214
lead.v,2,0.2505795090638492,0.02290756138914414,-0.00012384091020633674,0.009570099667492078,0.2699991425388586,0.02858458318610829,0.0002618474243599296,0.009355847394486048,2.68498204,7,170
lead.v,3,0.049421208308558666,0.016973408021159042,0.0003822030833727077,0.009791038176815856,0.2679638614379329,0.02308887679812169,-0.0003008363109561738,0.00920568447071146,2.68498204,7,170
serve.v,2,0.40902154343223707,0.022433132967022897,0.0001468503212287982,0.007232931484384432,0.2459698733313274,0.023017397643938054,9.836989917880403e-06,0.007045489952133966,2.359147495,6,194
serve.v,3,0.20726869429963285,0.03207146754636968,-2.6558476179118108e-05,0.007340639258807841,0.2892493949727535,0.02524738502901407,0.0001245749992292486,0.007364966324194952,2.359147495,6,194
give.v,2,0.08119329898078101,0.007491831058666903,8.445758585807796e-06,0.0020981229278910366,0.01982721222216873,0.004516828445959049,2.3149954678594684e-05,0.0020086690365775173,2.268538338,9,704
give.v,3,0.06388810417987663,0.005550685042230508,0.0001086354456671001,0.0021121257465893267,0.054462969269382204,0.0075436055164691184,-8.119383209779615e-05,0.0021109838087355875,2.268538338,9,704
raise.v,2,0.5315435553396296,0.091015742461672,-1.749739136967865e-05,0.016668863024235384,0.27991107972264856,0.0055366647791295475,-0.0005098522374865498,0.016102611493152924,2.234669101,5,111
raise.v,3,0.011878204565139841,0.01711527683997667,-0.0002278519498676106,0.010087615454477424,0.5362979822104195,0.036963092827119966,-0.0004938903632555248,0.016725126372834614,2.234669101,5,111
cover.v,2,0.11280782420405665,0.01918433470972488,0.00025415529474255127,0.0141189087519524,0.19450942958036785,0.018430143971939667,0.0006989069418220432,0.013878065315559173,2.159470667,5,118
cover.v,3,0.054612702830545326,0.020870239687532228,-0.00036601586640366786,0.01404524441504735,0.18894955199429106,0.029343724129388533,-0.0009585141772917773,0.013436788211850436,2.159470667,5,118
play.v,2,0.537224910351554,0.03874347516044523,-0.0005395203385302236,0.007074043333917552,0.3063593277448666,0.015221367855738266,-4.2059508363267076e-05,0.0069578231347447814,2.151680382,5,205
play.v,3,0.13215096123860087,0.022149191038113282,0.00010018390017715649,0.007127976303985541,0.38349979040617743,0.044066134661691736,-1.665153336337616e-05,0.007109792364720094,2.151680382,5,205
grow.v,2,0.4080988914116925,0.03619301275920354,0.0002986982024304373,0.010238712293966149,0.3047826400018914,0.003215457857049391,6.919969326065789e-05,0.01004010800138833,2.1034377,5,157
grow.v,3,0.06368228134782877,0.023863519621778184,8.210147990307392e-05,0.010721286328301528,0.3195186797980679,0.02778829076465066,-0.00011955302579361652,0.010363585174417206,2.1034377,5,157
apply.v,2,0.4521018722945427,0.047627514761624544,-0.0004794975141586754,0.013731381190299609,0.40938992618795395,0.015733781157276566,0.000275450839175558,0.014555283613988529,2.06949251,5,116
apply.v,3,0.004405820801554848,0.015576270387743587,-2.0336827591958484e-05,0.014242694677516963,0.5000075623432056,0.016903024121254922,-0.00010008828912125503,0.014645563976278747,2.06949251,5,116
life.n,2,0.3021088464227241,0.040748247384027235,2.6386982434298184e-05,0.006738776043407649,0.21607352678235128,0.03156449097218092,-0.0001993706475817524,0.006669739118066646,2.040157636,5,217
life.n,3,0.09966306505856314,0.019928357092621685,0.0001087605741859894,0.006599964075733414,0.2605731032185469,0.057531613669332925,-0.00038433903172467126,0.006533835504902573,2.040157636,5,217
follow.v,2,0.2903840015266708,0.039296050041600784,4.880060693388874e-05,0.006532546549719781,0.15270496260126293,0.014089706380275943,-0.0005995666954953258,0.006159163660305249,2.018523343,7,243
follow.v,3,0.10164322897851646,0.018090429741696338,-0.00015554817513971177,0.006561230707260436,0.277576084290562,0.01936790957289149,-0.00012267328467793138,0.006385757644371019,2.018523343,7,243
time.n,2,0.2835932747688757,0.06581153895923439,-0.00022095277450528042,0.002953887799860396,0.2329084791097821,0.035617446596262946,1.50848096658638e-05,0.0028736062907209828,2.002841765,5,505
time.n,3,0.15212741303659869,0.039863214852699516,0.00016824346933452163,0.0027775035532651648,0.26641675287938205,0.014034592131650906,-0.00011906346987094992,0.0029279335453151873,2.002841765,5,505
find.v,2,0.08563937551387578,0.00709213804606813,7.676917882476032e-05,0.002120859911538347,0.060354743190805984,0.005245203148560882,1.0755530307377834e-05,0.0021247492769767254,1.9969499819999998,6,663
find.v,3,0.06532220175267353,0.007728917359659812,-2.4614389059551792e-05,0.002136693100111397,0.08215967871027367,0.003251756881889617,-9.37319457579234e-05,0.0020423705584872573,1.9969499819999998,6,663
trouble.n,2,0.06362036677426004,0.036119445890705405,-0.00048198139388340645,0.029986094208955618,0.05947475549818796,1.3877787807814454e-17,0.0010229826783139991,0.03293521174917314,1.9738893130000001,4,61
trouble.n,3,0.002394804201535922,0.021631335351878424,-0.0003023718160632412,0.02481990285030389,0.04705603351335157,0.010904728043402642,-0.001432896326903669,0.029438487205258188,1.9738893130000001,4,61
deny.v,2,0.2269258802604432,0.03920290209579565,6.926564469965741e-05,0.019649541034578662,0.22141731143909127,0.016046068518310166,-0.00033236750989213066,0.019159110944821086,1.97010813,4,72
deny.v,3,0.06877484990451027,0.03162347046113862,0.00035833657097014487,0.01969955626885606,0.21736959597609484,0.035955109592907215,-0.0005456776444252153,0.019879213132518544,1.97010813,4,72
discover.v,2,0.027417292192726136,0.010780050701747935,6.088287354447786e-05,0.023494582647104183,0.015391692233599456,0.016443560819597518,-0.00019592555986354228,0.02351488660055883,1.9588470709999999,4,70
discover.v,3,0.012412665442962134,0.022991495389851704,0.000725223733544607,0.02394119075216497,0.010609922735160156,0.028171119390506268,-0.000328492723332626,0.02306686474986196,1.9588470709999999,4,70
back.r,2,0.12830043420202014,0.04987095045567872,-0.0001232406396147408,0.008612287165043317,0.10048785752481988,0.007797282681038644,-0.0002556254855015057,0.008152476018241983,1.947406881,5,168
back.r,3,0.011234024828583723,0.009169737323554238,-0.0003802314703626362,0.008043051758999834,0.13688273822499314,0.02047791825787141,0.0005511295066465973,0.008762162038211379,1.947406881,5,168
line.n,2,0.29495371074257515,0.098460959226362,-0.0014993272545879444,0.031094467528157088,0.2125727815849892,0.01453802441041166,-0.0005125533641721781,0.03080487115730989,1.912233988,5,100
line.n,3,-0.0005400159814909621,0.021342775570686773,-0.0013472852505206658,0.02808816774857269,0.3890802661978109,0.07793362443793048,0.0015272632489905784,0.03177326613751781,1.912233988,5,100
make.v,2,0.14671791280371496,0.012187232129998926,3.538770050531016e-05,0.0010320053581029571,0.10497416900761036,0.005987737496902273,4.99853496337599e-05,0.001055918884528515,1.9039109280000002,7,1401
