,word,pos,freq_sd,senses_for_pos
0,be,v,2753.646765173947,8
1,have,v,341.32800870102875,6
2,do,v,214.05721410195665,2
3,make,v,176.71056844456137,8
4,see,v,128.11041808057306,13
5,get,v,109.04611384664261,5
6,come,v,104.11221052764357,6
7,give,v,80.18531168815343,11
8,go,v,77.29922593189617,5
9,show,v,62.75232701226741,2
10,take,v,59.58559996294175,13
11,turn,v,47.31442217183409,2
12,move,v,33.613849959368075,2
13,hold,v,30.64900441876492,13
14,develop,v,26.671382366923492,5
15,run,v,25.83334869431187,12
16,carry,v,25.08272028992982,5
17,case,n,23.767816283981386,3
18,place,n,22.04664476637081,2
19,thing,n,21.955740603644994,2
20,play,v,20.503227866391583,9
21,meet,v,19.997537727218198,3
22,point,n,19.596497831825136,3
23,fall,v,15.185519418182572,2
24,cover,v,14.568958283094418,2
25,line,n,14.080810728407322,4
26,rise,v,13.437396934065628,2
27,lead,v,13.268783141667743,3
28,light,n,12.101070094660944,4
29,set,v,10.462921545759924,2
30,strike,v,8.054360761272571,2
31,catch,v,6.85485309755147,5
32,break,v,6.63863152851765,5
33,draw,v,5.7062600281420695,10
34,settle,v,5.193235693640042,3
35,good,s,4.67692488432585,5
